,tweet_text,pos_rev,neg_rev,neutral_or_unknown,google_product
152,Must see #android app at #sxsw &quot;Bizzy&quot; {link},1,0,0,1
153,@mention #BT #SXSW &quot;Having a really GREAT social search is probably a very good idea for #google&quot; @mention,1,0,0,1
154,Heard at #sxsw #Android is now the leading market share of smart phones in US. #getjarsxsw,1,0,0,1
155,"@mention #sxsw #google tv - thanks to Google TV, I can watch Guy live in my own livingÛ_ {link}",1,0,0,1
156,"With the #sxsw app and Google Maps, I'm pretty sure that the schwag bag is just a waste of paper.",1,0,0,1
157,"@mention #sxsw blogger is orange, wodpress is blue, Google owns the market, so what do you do #winning",1,0,0,1
158,Google's #SxSW party theme is &quot;Party like it's 1986&quot; :) (@mention Maggie Mae's) [pic]: {link},1,0,0,1
159,Me too!! #sxsw RT @mention Hanging out with @mention at the @mention #google Industry Party...good crowd!  #sxsw,1,0,0,1
160,Quadroid = Qualcomm + Android just called the platform of the next decade vs Wintel #sxsw #cloud,1,0,0,1
161,Google: 40% of map usage is mobile. Seeing a demo of new version of mobile maps. Nice! #SXSW,1,0,0,1
162,"#SXSW 2011 Trends:
Out: Google
In: Twitter
Next: Angry Birds",1,0,0,1
163,#SXSW 2011: The #Google and #Bing smackdown in all its bloody banality {link},0,1,0,1
164,{link} via @mention pretty neat database I must say.  does it work on my #android we shall see. #sxsw #party #free,1,0,0,1
165,Just got a back door invite to the Google party. goona network my ass off! #SXSW,1,0,0,1
166,Great idea behind #circles RT @mention &amp; @mention Google Launching Secret New Social Network Called Circles {link} #sxsw,1,0,0,1
167,Enjoying a Google ice cream sandwich at the GSD&amp;M party...with an edible wrapper! #welivehere #gsdm #SXSW  {link},1,0,0,1
168,"Watching a promo for Google earth engine at 'Techies can save the world, why don't they?'. Harnessing collective power for good. #sxsw",1,0,0,1
169,At Q&amp;A with Google and Bing on website rankings. Fun. #sxsw,1,0,0,1
170,"3/5 available for Android. &gt;&gt; 5 Absolute, Must-Have Apps to Rock #SXSW Interactive by @mention {link} via @mention",1,0,0,1
171,Already had my first Google Circle search result. {link} cc @mention @mention #sxsw,1,0,0,1
172,Waiting eagerly for Google to launch their secret new Social Network called Circles today at #SXSW &gt;&gt; Any new updates ?,1,0,0,1
173,@mention Alive and loving it! Great talks from Jonathan Dahl #minimalistprogramming and Google's Marissa Mayer #MarissaGoogle - #sxsw,1,0,0,1
174,Why does all the #Android meetups here in #Austin are when I'm at work. Well at least there is the PS meetup #sxsw,0,1,0,1
175,DL the #Calyp App today! Avail in the iTunes App Store &amp; Android Market! #Calyp Look for us at #SXSW,1,0,0,1
176,Google analytics can track offsite links as virtual page views using JavaScript. #moreknowledge #sxsw #mitharvard,1,0,0,1
177,Google analytics rocks #VIEW512 #SXSW,1,0,0,1
178,"#SXSW Vegan Guide Google Map (Austin, TX) ~ {link} ~ Based on the Lazy Smurf's info ~ {link}",1,0,0,1
179,"Check in and offers through Google, cool. {link} #SXSW",1,0,0,1
180,@mention Android just got a big call out at #sxsw in they #gamelayer opening keynote. I knew you'd appreciate.,1,0,0,1
181,@mention Android needs a way to group apps like you can now do with iPad/iPod. #SXSW #hhrs,0,1,0,1
182,@mention another google social failure? #sxsw,0,1,0,1
183,I don't want to lose your love #google #SXSW,1,0,0,1
184,So brilliant. Rosso used a google  doc to paste in a recipe to make mothers think they generated a recipe for her. #leanstartup #sxsw,1,0,0,1
185,Great recap of a seemingly great #sxsw session: RT @mention Relive the wonder that was the Google v Bing panel: {link},1,0,0,1
186,Great recap of Google/Bing Q/A session on website ranking #SXSW #qagb {link} (via @mention cc: @mention,1,0,0,1
187,"as the search from sxsw via twitter does not work, check out google's real time search, at least you get some results #sxsw",1,0,0,1
188,"Rachael Harris! That's who I saw. That was driving me nuts. Thank you, Google. #sxsw",1,0,0,1
189,Google's Art Project puts famous artworks into 7 billion pixels- allowing you to zoom in &amp; get an entirely different view of art. #SxSW,1,0,0,1
190,Google's art project would be a great virtual field trip for kids! Museums around the world! #edtech #sxsw,1,0,0,1
191,Android party #sxsw (@mention Lustre Pearl Bar w/ 36 others) {link},1,0,0,1
192,"Guy just asked Google's Mayer: it can take a year to remove deadly routes from Google Maps, such as through Death Valley #SXSW",0,1,0,1
193,@mention at #sxsw: Google Will Connect the Digital &amp; Physical Worlds Through Mobile {link} and {link},1,0,0,1
194,@mention at #SXSW! Be the first to send us a pic of @mention and get a free download of our game! #Android #videogame #smartphone,1,0,0,1
195,80s band at google/ACLU 1986 party rocks  #SXSW  {link},1,0,0,1
196,@mention at Team Android party. @mention @mention just walked in. DL Appolicious app &amp; enter to win free Nexus S! #androidsxsw #sxsw,1,0,0,1
197,Another late start at #sxsw #sxswi damn you google and your rocking 80's party,1,0,0,1
198,The Spasmatics are rockin' it at the ACLU / Google party. #sxsw,1,0,0,1
199,Congratulation! RT @mention Yes! Gowalla wins best Andoid app at the Team Android Choice Awards. Thanks all! #sxsw,1,0,0,1
200,"The ppl have spoken &quot;great #SXSW session w/ Bing, Google and Danny Sullivan. Bring it back next year with a LARGER room!&quot;: #qagb #sxswi",1,0,0,1
201,#Google Saving Drivers Time and Fuel {link} #seo #sem #googlemaps #mobile #topnews #sxsw,1,0,0,1
202,Piece of awesomeness: Arduino + android = Flaming skulls  {link} @mention @mention #sxsw #smartthings,1,0,0,1
203,"Marissa Mayer #sxsw Google &quot;making smart phones smarter&quot; &amp; life more efficient: knowing your sched --&gt; suggest flights, maps, weather &amp; more",1,0,0,1
204,Marissa Mayer from @mention &quot;mobile is a cursor&quot; #SXSW ... Demo of next gen google maps is really impressive btw,1,0,0,1
205,Marissa Mayer of Google speaking at #SXSW mobile phone usage of google maps surpassed online use in the past couple months,1,0,0,1
206,"Marissa Mayer talks the future of Google maps and discusses Hotpot, its answer to location-based ratings and recommendations #SXSW -KEK",1,0,0,1
207,"Marissa Mayer, VP Consumer Products for Google, doing great job at #SXSW. Audience has tons of respect for what Google is doing w/ location.",1,0,0,1
208,"Marissa Mayer: &quot;Our focus is on location based services.&quot; Demoed Hotpot, Google Maps, vector maps, augmented reality. #sxsw #webvisions",1,0,0,1
209,Marissa Mayer: #Google wil connect the digital &amp; physical worlds through mobile  {link}  #SXSW,1,0,0,1
210,"Marissa Mayer: Google maps should have better customer service, quicker responses. #sxsw #FH",0,1,0,1
211,Marissa Mayer: Google Will Connect the Digital &amp; Physical Worlds Through Mobile: {link} #google #sxsw #mobile #hotpot,1,0,0,1
212,Marissa Mayer: Location and contextual discovery will enable mobile devices to make us more efficient.  e.g. Google Places w/Hotpot #sxsw,1,0,0,1
213,"Google plays down social network Circles at #SxSW {link} - FB needs a rival, even if it's just to keep them on their toes",0,0,1,1
214,Crowley says no hard feelings towards Google after Dodgeball experience. Says they would be good partner. #SXSW #checkins,1,0,0,1
215,Google web fonts...pretty... #sxsw #tradeshow {link},1,0,0,1
216,Chrome Web Store: Google calls it the HTML5 Hot Tub #sxsw #steamy #hot #nerds,1,0,0,1
217,"The next big thing? Hmmm. RT @mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} #sxsw",1,0,0,1
218,Excited about #sxsw tomorrow! Leaving for Austin at 8am. Will see Google's @mention at 3:30pm. Still working my schedule.,1,0,0,1
219,Come celebrate w/ Charity Water tonight! (Google is throwin the party). Jump start your #sxsw week off right! studentsforcleanwater.org/rsvp,1,0,0,1
220,Google Labs' Fusion Tables made Election Day Foursquare visualization possible #SXSW ^PR,1,0,0,1
221,I'm late but finally here at #gsdm #google #SXSW great surprise to b greeted by the lovely Lindsay stillman. Gonna b a good night.,1,0,0,1
222,"The walk by Lady Bird Lake was lovely, but Google Maps travel times are not to be trusted. #SXSW",0,1,0,1
223,@mention check out our #eventseekr app launching at #sxsw keep updated on parties. Android: {link} iPhone app on its way,1,0,0,1
224,"@mention check out Smyle (for #Android and the web). Has group chat, shared location and media, and whiteboarding. Thanks. #SXSW #app",1,0,0,1
225,#saveustechies panel at #sxsw getting off to a great start with a video on the surui carbon project by google {link},1,0,0,1
226,@mention Congratulations on winning the Android award! :) #sxsw,1,0,0,1
227,"@mention congratulations, sent from Seesmic on my Android phone, at #SXSW!",1,0,0,1
228,Trying 2 convince @mention 2 watch the launch of google Social network at #SXSW . I didn't know there was going to be comedy?!,0,1,0,1
229,"Could be cool. RT @mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} #sxsw",1,0,0,1
230,"Eating a coolhaus ice cream sandwich at the Google party. Hmmm, happy. #sxsw",1,0,0,1
231,"Google recreated the code for Pac-Man for their doodle, original bugs included. #sxsw #googledoodles",0,0,1,1
232,@mention crew ripped up Android party - thanks for having us Droid! {link} #sxsw,1,0,0,1
233,The data crunch at #SXSW is crippling Google Voice. Back to regular texting we go...,0,1,0,1
234,Google and Bing meet at #SXSW after their lovers tiff last month but it seems to have been disappointingly friendly {link},0,1,0,1
235,Google and Bing page rank panel is ridiculously crowded. Is Al Franken or Justin Timberlake here? #sxsw {link},0,1,0,1
236,"When brand focuses on purpose, not object, they survive &amp; succeed. Google: not search, useful info. Nike: not sneakers, performance. #sxsw",1,0,0,1
237,Interested to hear how it's different from Google Buzz. RT @mention Get ready for the word &quot;Circles&quot; to be trending #SXSWi #SXSW :),1,0,0,1
238,ballroom d: #marissagoogle talking about some cool projects (obv). love the Google Art Project. #sxsw,1,0,0,1
239,Cobra iRadar detection system coming to Android next month {link} #Android #GPS #iPhone #SXSW,1,0,0,1
240,"Exciting day at #sxsw to day. Now Tim Ferriss, and rumors about launch of Google Circles later...",1,0,0,1
241,It's pie day at the google booth at #sxsw #mylunch,1,0,0,1
242,Great UI demo of @mention on @mention {link} #xoom #sxsw #android #tech #tablet,1,0,0,1
243,#android dev meetup was mostly ppl looking for devs. Good skill to learn if you havent already. #SXSW #mccannsxsw,1,0,0,1
244,"Having a drink called an Alan Turing and making a Lego robot. Oh, Google :) #sxsw  @mention Speakeasy {link}",1,0,0,1
245,"Kinda giddy about #TheIndustryParty with #Google (&amp; more) at #GSDM. Finally, the fun comes to us non #SWSurrogates. #sxsw #notpouting",1,0,0,1
246,Google body beta uber  #SXSW #health2dev #cool,1,0,0,1
247,Find where @mention is playing at #SXSW on the #eventseekr app for Android. We got u! {link},1,0,0,1
248,Off to see @mention in &quot;Left Brain Search = Google. Right Brain Search = X&quot; panel at #SXSW #BetterSearch,1,0,0,1
249,"The Google / ACLU party tonight at #sxsw is the best thing ever. (And apparently, the Spazmatics are a franchised band. But they rock.)",1,0,0,1
250,Loving the 80s music at aclu google party!!! #sxsw,1,0,0,1
251,"Add google alerts to your project, and amazing things happen...#sxsw",1,0,0,1
252,"Any Google Analytics and DFP experts at #SXSW? Would love some insight on managing DFP campaigns, ad management/measurement. DM me! #HISXSW",1,0,0,1
253,New circle game? RT @mention  @mention Google (tries again) to launch new social network called Circles: {link} #sxsw,0,1,0,1
254,I'm at the google party. @mention Rocks! #sxsw,1,0,0,1
255,"Man, these hipsters are getting crazy at the Google party #SXSW  {link}",1,0,0,1
256,I would be interested to hear recomds RT @mention recommends using google voice to separate work from life #evolvingworkplace #sxsw,1,0,0,1
257,"the future is about networks, not just data. that's why google may not win long term #SXSW #web3 #SaatchiNY",0,1,0,1
